Match ID,Team 1,Team 2,Event,Date,Team 1 Score,Team 2 Score,Winner,Match VOD
59,London Royal Ravens,Los Angeles Thieves,Stage 2 Week 2,3/26/2021,3,1,London Royal Ravens,https://youtu.be/_mEV-lOAgdU?t=1
60,Los Angeles Guerrillas,New York Subliners,Stage 2 Week 2,3/26/2021,1,3,New York Subliners,https://youtu.be/3pZyhFxZBA8?t=1
61,London Royal Ravens,New York Subliners,Stage 2 Week 2,3/27/2021,1,3,New York Subliners,https://youtu.be/ksUrn5L7twM?t=1
62,Los Angeles Thieves,Atlanta FaZe,Stage 2 Week 2,3/27/2021,0,3,Atlanta FaZe,https://youtu.be/joK6e0ez_CE?t=1
63,Los Angeles Guerrillas,Toronto Ultra,Stage 2 Week 2,3/27/2021,2,3,Toronto Ultra,https://youtu.be/aOICTF3SK1E?t=1
64,Seattle Surge,Paris Legion,Stage 2 Week 2,3/28/2021,3,0,Seattle Surge,https://youtu.be/F1_GEZj-U4E?t=1
65,Minnesota ROKKR,Dallas Empire,Stage 2 Week 2,3/28/2021,3,2,Minnesota ROKKR,https://youtu.be/krbOYhcjVZU?t=1
66,Florida Mutineers,OpTic Chicago,Stage 2 Week 2,3/28/2021,3,0,Florida Mutineers,https://youtu.be/Kpbx-1j3OAg?t=1
67,Florida Mutineers,Dallas Empire,Stage 2 Week 3,4/1/2021,0,3,Dallas Empire,https://youtu.be/rF4JPRQ3C7Q?t=1
68,Seattle Surge,OpTic Chicago,Stage 2 Week 3,4/1/2021,0,3,OpTic Chicago,https://youtu.be/RbYt6eapC5c?t=1
69,London Royal Ravens,Toronto Ultra,Stage 2 Week 3,4/2/2021,0,3,Toronto Ultra,https://youtu.be/VqOoBQs50YE?t=1
70,Los Angeles Guerrillas,Atlanta FaZe,Stage 2 Week 3,4/2/2021,3,2,Los Angeles Guerrillas,https://youtu.be/cryc9UQtIys?t=1
71,Paris Legion,Florida Mutineers,Stage 2 Week 3,4/3/2021,3,1,Paris Legion,https://youtu.be/r6iQj91pv5Y?t=1
72,Seattle Surge,Minnesota ROKKR,Stage 2 Week 3,4/3/2021,2,3,Minnesota ROKKR,https://youtu.be/zg8g6rPsjok?t=1
73,Toronto Ultra,New York Subliners,Stage 2 Week 3,4/3/2021,1,3,New York Subliners,https://youtu.be/ScMb8KzxK20?t=1
74,London Royal Ravens,Atlanta FaZe,Stage 2 Week 3,4/4/2021,0,3,Atlanta FaZe,https://youtu.be/Mky9daj1bMY?t=1
75,Los Angeles Guerrillas,Los Angeles Thieves,Stage 2 Week 3,4/4/2021,3,0,Los Angeles Guerrillas,https://youtu.be/Bwl_kg5MIiM?t=1
76,OpTic Chicago,Dallas Empire,Stage 2 Week 3,4/4/2021,3,2,OpTic Chicago,https://youtu.be/Ciwsgykgmdw?t=1
77,Los Angeles Thieves,Paris Legion,Major 2,4/7/2021,3,0,Los Angeles Thieves,https://youtu.be/Jm8xBObvItE?t=1
78,Florida Mutineers,Los Angeles Guerrillas,Major 2,4/7/2021,3,0,Florida Mutineers,https://youtu.be/z6s_Y1BL144?t=1
79,Dallas Empire,New York Subliners,Major 2,4/8/2021,3,0,Dallas Empire,https://youtu.be/SryXsgY5ChA?t=1
80,Toronto Ultra,OpTic Chicago,Major 2,4/8/2021,3,1,Toronto Ultra,https://youtu.be/9HhRT6JUyMI?t=1
