Match ID,Map ID,Team 1,Team 2,Event,Mode,Map,Map Number,Team 1 Score,Team 2 Score,Map Winner,Total Game Time,Map VOD
14,54,New York Subliners,London Royal Ravens,Super Week,Control,Checkmate,3,3,0,New York Subliners,5:41,https://youtu.be/cp-ygBBiMtE?t=2612
15,55,Seattle Surge,Minnesota ROKKR,Super Week,Hardpoint,Checkmate,1,163,250,Minnesota ROKKR,10:01,https://youtu.be/ETdDoG6ErRk?t=269
15,56,Seattle Surge,Minnesota ROKKR,Super Week,Search and Destroy,Raid,2,5,6,Minnesota ROKKR,11:00,https://youtu.be/ETdDoG6ErRk?t=1289
15,57,Seattle Surge,Minnesota ROKKR,Super Week,Control,Raid,3,2,3,Minnesota ROKKR,15:23,https://youtu.be/ETdDoG6ErRk?t=2685
16,58,London Royal Ravens,Dallas Empire,Super Week,Hardpoint,Moscow,1,250,160,London Royal Ravens,11:03,https://youtu.be/qBtZutICJ6E?t=709
16,59,London Royal Ravens,Dallas Empire,Super Week,Search and Destroy,Moscow,2,3,6,Dallas Empire,8:12,https://youtu.be/qBtZutICJ6E?t=1700
16,60,London Royal Ravens,Dallas Empire,Super Week,Control,Garrison,3,2,3,Dallas Empire,13:07,https://youtu.be/qBtZutICJ6E?t=2904
16,61,London Royal Ravens,Dallas Empire,Super Week,Hardpoint,Garrison,4,235,228,London Royal Ravens,12:43,https://youtu.be/qBtZutICJ6E?t=4169
16,62,London Royal Ravens,Dallas Empire,Super Week,Search and Destroy,Miami,5,4,6,Dallas Empire,12:28,https://youtu.be/qBtZutICJ6E?t=5416
17,63,Seattle Surge,Los Angeles Thieves,Super Week,Hardpoint,Checkmate,1,231,250,Los Angeles Thieves,12:31,https://youtu.be/oTjvvY09Wvc?t=273
17,64,Seattle Surge,Los Angeles Thieves,Super Week,Search and Destroy,Raid,2,6,4,Seattle Surge,8:36,https://youtu.be/oTjvvY09Wvc?t=1384
17,65,Seattle Surge,Los Angeles Thieves,Super Week,Control,Raid,3,2,3,Los Angeles Thieves,14:15,https://youtu.be/oTjvvY09Wvc?t=2680
17,66,Seattle Surge,Los Angeles Thieves,Super Week,Hardpoint,Moscow,4,250,222,Seattle Surge,10:57,https://youtu.be/oTjvvY09Wvc?t=4046
17,67,Seattle Surge,Los Angeles Thieves,Super Week,Search and Destroy,Moscow,5,0,6,Los Angeles Thieves,6:02,https://youtu.be/oTjvvY09Wvc?t=5156
18,68,Toronto Ultra,OpTic Chicago,Super Week,Hardpoint,Checkmate,1,68,250,OpTic Chicago,7:29,https://youtu.be/zMY98eV8R4M?t=283
18,69,Toronto Ultra,OpTic Chicago,Super Week,Search and Destroy,Raid,2,6,4,Toronto Ultra,11:22,https://youtu.be/zMY98eV8R4M?t=1097
18,70,Toronto Ultra,OpTic Chicago,Super Week,Control,Raid,3,1,3,OpTic Chicago,11:56,https://youtu.be/zMY98eV8R4M?t=2510
18,71,Toronto Ultra,OpTic Chicago,Super Week,Hardpoint,Raid,4,218,250,OpTic Chicago,9:38,https://youtu.be/zMY98eV8R4M?t=3659
19,72,New York Subliners,Minnesota ROKKR,Super Week,Hardpoint,Raid,1,250,82,New York Subliners,6:37,https://youtu.be/wozOoRzSCT8?t=449
19,73,New York Subliners,Minnesota ROKKR,Super Week,Search and Destroy,Moscow,2,6,0,New York Subliners,5:05,https://youtu.be/wozOoRzSCT8?t=1709
19,74,New York Subliners,Minnesota ROKKR,Super Week,Control,Raid,3,3,2,New York Subliners,14:58,https://youtu.be/wozOoRzSCT8?t=2701
20,75,Los Angeles Guerrillas,OpTic Chicago,Super Week,Hardpoint,Garrison,1,250,234,Los Angeles Guerrillas,10:47,https://youtu.be/durOg_h8Y74?t=286
20,76,Los Angeles Guerrillas,OpTic Chicago,Super Week,Search and Destroy,Moscow,2,3,6,OpTic Chicago,9:43,https://youtu.be/durOg_h8Y74?t=1587
20,77,Los Angeles Guerrillas,OpTic Chicago,Super Week,Control,Raid,3,1,3,OpTic Chicago,12:47,https://youtu.be/durOg_h8Y74?t=2928
20,78,Los Angeles Guerrillas,OpTic Chicago,Super Week,Hardpoint,Moscow,4,191,250,OpTic Chicago,10:48,https://youtu.be/durOg_h8Y74?t=4185
21,79,Florida Mutineers,Atlanta FaZe,Super Week,Hardpoint,Garrison,1,250,196,Florida Mutineers,11:38,https://youtu.be/aPQy5_GsMrQ?t=411
21,80,Florida Mutineers,Atlanta FaZe,Super Week,Search and Destroy,Moscow,2,1,6,Atlanta FaZe,6:06,https://youtu.be/aPQy5_GsMrQ?t=1669
21,81,Florida Mutineers,Atlanta FaZe,Super Week,Control,Garrison,3,2,3,Atlanta FaZe,11:17,https://youtu.be/aPQy5_GsMrQ?t=2929
21,82,Florida Mutineers,Atlanta FaZe,Super Week,Hardpoint,Moscow,4,190,250,Atlanta FaZe,10:48,https://youtu.be/aPQy5_GsMrQ?t=4154
22,83,London Royal Ravens,Los Angeles Thieves,Super Week,Hardpoint,Moscow,1,137,250,Los Angeles Thieves,9:26,https://youtu.be/9C6Riw5aH5Q?t=420
22,84,London Royal Ravens,Los Angeles Thieves,Super Week,Search and Destroy,Garrison,2,4,6,Los Angeles Thieves,12:34,https://youtu.be/9C6Riw5aH5Q?t=1280
22,85,London Royal Ravens,Los Angeles Thieves,Super Week,Control,Garrison,3,3,1,London Royal Ravens,7:14,https://youtu.be/9C6Riw5aH5Q?t=2776
22,86,London Royal Ravens,Los Angeles Thieves,Super Week,Hardpoint,Garrison,4,192,250,Los Angeles Thieves,11:44,https://youtu.be/9C6Riw5aH5Q?t=3993
23,87,Paris Legion,Toronto Ultra,Super Week,Hardpoint,Raid,1,250,225,Paris Legion,9:38,https://youtu.be/-4ZzA0gvCu0?t=255
23,88,Paris Legion,Toronto Ultra,Super Week,Search and Destroy,Moscow,2,0,6,Toronto Ultra,5:41,https://youtu.be/-4ZzA0gvCu0?t=1170
23,89,Paris Legion,Toronto Ultra,Super Week,Control,Raid,3,0,3,Toronto Ultra,10:10,https://youtu.be/-4ZzA0gvCu0?t=2170
23,90,Paris Legion,Toronto Ultra,Super Week,Hardpoint,Garrison,4,250,211,Paris Legion,11:13,https://youtu.be/-4ZzA0gvCu0?t=3200
23,91,Paris Legion,Toronto Ultra,Super Week,Search and Destroy,Miami,5,6,3,Paris Legion,11:08,https://youtu.be/-4ZzA0gvCu0?t=4640
24,92,New York Subliners,Dallas Empire,Super Week,Hardpoint,Checkmate,1,250,138,New York Subliners,9:10,https://youtu.be/Qx06squmROY?t=389
24,93,New York Subliners,Dallas Empire,Super Week,Search and Destroy,Checkmate,2,6,3,New York Subliners,7:32,https://youtu.be/Qx06squmROY?t=1301
24,94,New York Subliners,Dallas Empire,Super Week,Control,Raid,3,2,3,Dallas Empire,16:06,https://youtu.be/Qx06squmROY?t=2441
24,95,New York Subliners,Dallas Empire,Super Week,Hardpoint,Garrison,4,171,250,Dallas Empire,10:35,https://youtu.be/Qx06squmROY?t=4127
24,96,New York Subliners,Dallas Empire,Super Week,Search and Destroy,Miami,5,3,6,Dallas Empire,10:07,https://youtu.be/Qx06squmROY?t=5176
25,97,Paris Legion,Atlanta FaZe,Super Week,Hardpoint,Checkmate,1,250,249,Paris Legion,11:45,https://youtu.be/acumTWEe3Uo?t=400
25,98,Paris Legion,Atlanta FaZe,Super Week,Search and Destroy,Checkmate,2,5,6,Atlanta FaZe,12:24,https://youtu.be/acumTWEe3Uo?t=1475
25,99,Paris Legion,Atlanta FaZe,Super Week,Control,Garrison,3,3,1,Paris Legion,13:18,https://youtu.be/acumTWEe3Uo?t=2962
25,100,Paris Legion,Atlanta FaZe,Super Week,Hardpoint,Raid,4,218,250,Atlanta FaZe,9:23,https://youtu.be/acumTWEe3Uo?t=4861
25,101,Paris Legion,Atlanta FaZe,Super Week,Search and Destroy,Raid,5,4,6,Atlanta FaZe,9:40,https://youtu.be/acumTWEe3Uo?t=5856
26,102,London Royal Ravens,Minnesota ROKKR,Super Week,Hardpoint,Raid,1,157,250,Minnesota ROKKR,8:25,https://youtu.be/fhh_n380YXs?t=397
26,103,London Royal Ravens,Minnesota ROKKR,Super Week,Search and Destroy,Moscow,2,4,6,Minnesota ROKKR,7:22,https://youtu.be/fhh_n380YXs?t=1248
26,104,London Royal Ravens,Minnesota ROKKR,Super Week,Control,Raid,3,2,3,Minnesota ROKKR,15:34,https://youtu.be/fhh_n380YXs?t=2427
27,105,Los Angeles Guerrillas,Toronto Ultra,Super Week,Hardpoint,Crossroads,1,242,250,Toronto Ultra,12:30,https://youtu.be/cIcxxKiR3q4?t=597
27,106,Los Angeles Guerrillas,Toronto Ultra,Super Week,Search and Destroy,Moscow,2,6,1,Los Angeles Guerrillas,5:45,https://youtu.be/cIcxxKiR3q4?t=1654
27,107,Los Angeles Guerrillas,Toronto Ultra,Super Week,Control,Raid,3,3,1,Los Angeles Guerrillas,12:07,https://youtu.be/cIcxxKiR3q4?t=2649
27,108,Los Angeles Guerrillas,Toronto Ultra,Super Week,Hardpoint,Garrison,4,199,250,Toronto Ultra,10:44,https://youtu.be/cIcxxKiR3q4?t=3792
27,109,Los Angeles Guerrillas,Toronto Ultra,Super Week,Search and Destroy,Raid,5,6,1,Los Angeles Guerrillas,6:49,https://youtu.be/cIcxxKiR3q4?t=4897
28,110,Seattle Surge,New York Subliners,Super Week,Hardpoint,Raid,1,250,205,Seattle Surge,9:40,https://youtu.be/RV56WQ05uR8?t=377
28,111,Seattle Surge,New York Subliners,Super Week,Search and Destroy,Miami,2,3,6,New York Subliners,10:29,https://youtu.be/RV56WQ05uR8?t=1276
28,112,Seattle Surge,New York Subliners,Super Week,Control,Raid,3,0,3,New York Subliners,9:28,https://youtu.be/RV56WQ05uR8?t=2639
28,113,Seattle Surge,New York Subliners,Super Week,Hardpoint,Moscow,4,226,250,New York Subliners,11:29,https://youtu.be/RV56WQ05uR8?t=3623
29,114,Florida Mutineers,OpTic Chicago,Super Week,Hardpoint,Garrison,1,250,229,Florida Mutineers,12:01,https://youtu.be/gR8nmIGQCjg?t=895
29,115,Florida Mutineers,OpTic Chicago,Super Week,Search and Destroy,Checkmate,2,5,6,OpTic Chicago,,https://youtu.be/gR8nmIGQCjg?t=1992
29,116,Florida Mutineers,OpTic Chicago,Super Week,Control,Checkmate,3,2,3,OpTic Chicago,13:57,https://youtu.be/gR8nmIGQCjg?t=4009
29,117,Florida Mutineers,OpTic Chicago,Super Week,Hardpoint,Checkmate,4,178,250,OpTic Chicago,10:30,https://youtu.be/gR8nmIGQCjg?t=5315
30,118,Los Angeles Thieves,Dallas Empire,Super Week,Hardpoint,Raid,1,212,250,Dallas Empire,9:28,https://youtu.be/Q22Rz4UyNI8?t=568
30,119,Los Angeles Thieves,Dallas Empire,Super Week,Search and Destroy,Checkmate,2,5,6,Dallas Empire,12:16,https://youtu.be/Q22Rz4UyNI8?t=1470
30,120,Los Angeles Thieves,Dallas Empire,Super Week,Control,Raid,3,1,3,Dallas Empire,12:54,https://youtu.be/Q22Rz4UyNI8?t=2929
31,121,London Royal Ravens,Toronto Ultra,Major 1,Hardpoint,Garrison,1,142,250,Toronto Ultra,10:30,https://youtu.be/toJhDmvhPGQ?t=456
31,122,London Royal Ravens,Toronto Ultra,Major 1,Search and Destroy,Garrison,2,6,3,London Royal Ravens,,https://youtu.be/toJhDmvhPGQ?t=1641
31,123,London Royal Ravens,Toronto Ultra,Major 1,Control,Raid,3,0,3,Toronto Ultra,9:12,https://youtu.be/toJhDmvhPGQ?t=2986
31,124,London Royal Ravens,Toronto Ultra,Major 1,Hardpoint,Moscow,4,250,202,London Royal Ravens,,https://youtu.be/toJhDmvhPGQ?t=3925
31,125,London Royal Ravens,Toronto Ultra,Major 1,Search and Destroy,Moscow,5,4,6,Toronto Ultra,10:55,https://youtu.be/toJhDmvhPGQ?t=5022
32,126,Florida Mutineers,Seattle Surge,Major 1,Hardpoint,Crossroads,1,250,235,Florida Mutineers,11:14,https://youtu.be/br7uI7oWuN4?t=601
32,127,Florida Mutineers,Seattle Surge,Major 1,Search and Destroy,Checkmate,2,5,6,Seattle Surge,12:48,https://youtu.be/br7uI7oWuN4?t=1601
32,128,Florida Mutineers,Seattle Surge,Major 1,Control,Garrison,3,3,0,Florida Mutineers,6:21,https://youtu.be/br7uI7oWuN4?t=3206
32,129,Florida Mutineers,Seattle Surge,Major 1,Hardpoint,Raid,4,250,157,Florida Mutineers,8:20,https://youtu.be/br7uI7oWuN4?t=4580
33,130,Los Angeles Guerrillas,Los Angeles Thieves,Major 1,Hardpoint,Checkmate,1,250,191,Los Angeles Guerrillas,10:25,https://youtu.be/VUkIKgv0ltA?t=385
33,131,Los Angeles Guerrillas,Los Angeles Thieves,Major 1,Search and Destroy,Raid,2,6,5,Los Angeles Guerrillas,12:33,https://youtu.be/VUkIKgv0ltA?t=1314
33,132,Los Angeles Guerrillas,Los Angeles Thieves,Major 1,Control,Raid,3,3,1,Los Angeles Guerrillas,12:46,https://youtu.be/VUkIKgv0ltA?t=2882
34,133,New York Subliners,OpTic Chicago,Major 1,Hardpoint,Checkmate,1,180,250,OpTic Chicago,10:41,https://youtu.be/f6mCTrifiWU?t=294
34,134,New York Subliners,OpTic Chicago,Major 1,Search and Destroy,Moscow,2,1,6,OpTic Chicago,8:09,https://youtu.be/f6mCTrifiWU?t=1285
34,135,New York Subliners,OpTic Chicago,Major 1,Control,Raid,3,1,3,OpTic Chicago,11:13,https://youtu.be/f6mCTrifiWU?t=2379
35,136,Florida Mutineers,Paris Legion,Major 1,Hardpoint,Garrison,1,129,250,Paris Legion,8:53,https://youtu.be/M8V6AbVCwTE?t=424
35,137,Florida Mutineers,Paris Legion,Major 1,Search and Destroy,Miami,2,6,4,Florida Mutineers,14:38,https://youtu.be/M8V6AbVCwTE?t=1280
35,138,Florida Mutineers,Paris Legion,Major 1,Control,Checkmate,3,3,2,Florida Mutineers,11:37,https://youtu.be/M8V6AbVCwTE?t=2871
35,139,Florida Mutineers,Paris Legion,Major 1,Hardpoint,Raid,4,250,239,Florida Mutineers,9:54,https://youtu.be/M8V6AbVCwTE?t=4084
36,140,Toronto Ultra,Minnesota ROKKR,Major 1,Hardpoint,Moscow,1,241,218,Toronto Ultra,12:39,https://youtu.be/nswk3oH6sfY?t=316
36,141,Toronto Ultra,Minnesota ROKKR,Major 1,Search and Destroy,Checkmate,2,5,6,Minnesota ROKKR,11:56,https://youtu.be/nswk3oH6sfY?t=1396
36,142,Toronto Ultra,Minnesota ROKKR,Major 1,Control,Raid,3,1,3,Minnesota ROKKR,13:06,https://youtu.be/nswk3oH6sfY?t=2851
36,143,Toronto Ultra,Minnesota ROKKR,Major 1,Hardpoint,Garrison,4,250,228,Toronto Ultra,11:37,https://youtu.be/nswk3oH6sfY?t=4063
36,144,Toronto Ultra,Minnesota ROKKR,Major 1,Search and Destroy,Miami,5,6,1,Toronto Ultra,8:25,https://youtu.be/nswk3oH6sfY?t=5148
37,145,Los Angeles Guerrillas,Atlanta FaZe,Major 1,Hardpoint,Checkmate,1,220,250,Atlanta FaZe,11:32,https://youtu.be/pPhDSJWY-Dw?t=396
37,146,Los Angeles Guerrillas,Atlanta FaZe,Major 1,Search and Destroy,Moscow,2,3,6,Atlanta FaZe,8:03,https://youtu.be/pPhDSJWY-Dw?t=1772
37,147,Los Angeles Guerrillas,Atlanta FaZe,Major 1,Control,Garrison,3,1,3,Atlanta FaZe,11:54,https://youtu.be/pPhDSJWY-Dw?t=2967
38,148,OpTic Chicago,Dallas Empire,Major 1,Hardpoint,Garrison,1,149,250,Dallas Empire,9:32,https://youtu.be/4nTuMG0eIxk?t=246
38,149,OpTic Chicago,Dallas Empire,Major 1,Search and Destroy,Moscow,2,6,2,OpTic Chicago,7:19,https://youtu.be/4nTuMG0eIxk?t=1218
38,150,OpTic Chicago,Dallas Empire,Major 1,Control,Raid,3,3,2,OpTic Chicago,,https://youtu.be/4nTuMG0eIxk?t=2949
38,151,OpTic Chicago,Dallas Empire,Major 1,Hardpoint,Moscow,4,157,250,Dallas Empire,11:07,https://youtu.be/4nTuMG0eIxk?t=5002
38,152,OpTic Chicago,Dallas Empire,Major 1,Search and Destroy,Checkmate,5,5,6,Dallas Empire,13:37,https://youtu.be/4nTuMG0eIxk?t=6091
39,153,Florida Mutineers,New York Subliners,Major 1,Hardpoint,Garrison,1,250,241,Florida Mutineers,,https://youtu.be/k7ddxV5iGtA?t=314
39,154,Florida Mutineers,New York Subliners,Major 1,Search and Destroy,Checkmate,2,6,5,Florida Mutineers,13:53,https://youtu.be/k7ddxV5iGtA?t=1376
